Treatment,Replicate,Target,Concentration,Distance
SH_MIX_CARP,R2,CARP,3.977777778,10
SH_MIX_CARP,R2,CARP,2.511111111,20
SH_MIX_CARP,R2,CARP,2.462222222,30
SH_MIX_CARP,R2,CARP,2.213333334,40
SH_MIX_CARP,R3,CARP,7.066666667,0
SH_MIX_CARP,R3,CARP,3.288888889,10
SH_MIX_CARP,R3,CARP,3.155555556,20
SH_MIX_CARP,R3,CARP,2.044444444,30
SH_MIX_CARP,R3,CARP,3.288888889,40
SH_MIX_CARP,R4,CARP,3.755555556,0
SH_MIX_CARP,R4,CARP,5.088888889,10
SH_MIX_CARP,R4,CARP,3.471111111,20
SH_MIX_CARP,R4,CARP,2.155555556,30
SH_MIX_CARP,R4,CARP,2.566666666,40
SH_MIX_STLHD,R1,STLHD,10,0
SH_MIX_STLHD,R1,STLHD,8.288888889,10
SH_MIX_STLHD,R1,STLHD,10.66666667,20
SH_MIX_STLHD,R1,STLHD,5.266666667,30
SH_MIX_STLHD,R1,STLHD,3.422222223,40
SH_MIX_STLHD,R2,STLHD,7.111111111,0
SH_MIX_STLHD,R2,STLHD,5.511111111,10
SH_MIX_STLHD,R2,STLHD,4.955555555,20
SH_MIX_STLHD,R2,STLHD,3.888888889,30
SH_MIX_STLHD,R2,STLHD,3.211111111,40
SH_MIX_STLHD,R3,STLHD,7.666666667,0
SH_MIX_STLHD,R3,STLHD,6.333333333,10
SH_MIX_STLHD,R3,STLHD,5.822222222,20
SH_MIX_STLHD,R3,STLHD,5.066666667,30
SH_MIX_STLHD,R3,STLHD,6.088888888,40
SH_MIX_STLHD,R4,STLHD,8.088888889,0
SH_MIX_STLHD,R4,STLHD,7.355555555,10
SH_MIX_STLHD,R4,STLHD,5.844444445,20
SH_MIX_STLHD,R4,STLHD,4.333333333,30
SH_MIX_STLHD,R4,STLHD,4.244444444,40
SH_PG_CARP,R1,CARP,2.844444444,0
SH_PG_CARP,R1,CARP,2.255555556,10
SH_PG_CARP,R1,CARP,1.551111111,20
SH_PG_CARP,R1,CARP,1.9,30
SH_PG_CARP,R1,CARP,1.295380105,40
SH_PG_CARP,R2,CARP,3.3,0
SH_PG_CARP,R2,CARP,3.094665062,10
SH_PG_CARP,R2,CARP,1.485798242,20
SH_PG_CARP,R2,CARP,1.646962125,30
SH_PG_CARP,R2,CARP,1.697777778,40
SH_PG_CARP,R3,CARP,2.83,0
SH_PG_CARP,R3,CARP,2.133333334,10
SH_PG_CARP,R3,CARP,1.6823409,20
SH_PG_CARP,R3,CARP,1.724444445,30
SH_PG_CARP,R3,CARP,1.4548994,40
SH_PG_CARP,R4,CARP,3.338888889,0
SH_PG_CARP,R4,CARP,1.824444444,10
SH_PG_CARP,R4,CARP,1.434897689,20
SH_PG_CARP,R4,CARP,1.47990992,30
SH_PG_CARP,R4,CARP,1.144453333,40
SH_PG_STLHD,R1,STLHD,5.488888889,0
SH_PG_STLHD,R1,STLHD,5.811111111,10
SH_PG_STLHD,R1,STLHD,5.288888889,20
SH_PG_STLHD,R1,STLHD,3.4,30
SH_PG_STLHD,R1,STLHD,2.133333333,40
SH_PG_STLHD,R2,STLHD,5.611111111,0
SH_PG_STLHD,R2,STLHD,5.966706779,10
SH_PG_STLHD,R2,STLHD,2.577777778,20
SH_PG_STLHD,R2,STLHD,3.222222223,30
SH_PG_STLHD,R2,STLHD,1.977777778,40
SH_PG_STLHD,R3,STLHD,4.811111111,0
SH_PG_STLHD,R3,STLHD,3.688888889,10
SH_PG_STLHD,R3,STLHD,2.488888889,20
SH_PG_STLHD,R3,STLHD,3.422222223,30
SH_PG_STLHD,R3,STLHD,2.511111111,40
SH_PG_STLHD,R4,STLHD,5.033333333,0
SH_PG_STLHD,R4,STLHD,3.577777777,10
SH_PG_STLHD,R4,STLHD,3.177777778,20
SH_PG_STLHD,R4,STLHD,2.322222222,30
SH_PG_STLHD,R4,STLHD,2.055555556,40
SH_SAND_CARP,R1,CARP,NA,0
SH_SAND_CARP,R1,CARP,4.266666667,10
SH_SAND_CARP,R1,CARP,1.624444445,20
SH_SAND_CARP,R1,CARP,3.222222222,30
SH_SAND_CARP,R1,CARP,3.955555555,40
SH_SAND_CARP,R2,CARP,NA,0
SH_SAND_CARP,R2,CARP,4.2,10
SH_SAND_CARP,R2,CARP,1.616666667,20
SH_SAND_CARP,R2,CARP,3.911111111,30
SH_SAND_CARP,R2,CARP,4.72,40
SH_SAND_CARP,R3,CARP,NA,0
SH_SAND_CARP,R3,CARP,4.888888889,10
SH_SAND_CARP,R3,CARP,1.706666666,20
SH_SAND_CARP,R3,CARP,3.224444444,30
SH_SAND_CARP,R3,CARP,3.697777778,40
SH_SAND_CARP,R4,CARP,NA,0
SH_SAND_CARP,R4,CARP,4.122222222,10
SH_SAND_CARP,R4,CARP,1.408888889,20
SH_SAND_CARP,R4,CARP,3.615555555,30
SH_SAND_CARP,R4,CARP,5.011111111,40
SH_SAND_STLHD,R1,STLHD,NA,0
SH_SAND_STLHD,R1,STLHD,6.244444444,10
SH_SAND_STLHD,R1,STLHD,5.988888889,20
SH_SAND_STLHD,R1,STLHD,6.611111111,30
SH_SAND_STLHD,R1,STLHD,6.111111111,40
SH_SAND_STLHD,R2,STLHD,NA,0
SH_SAND_STLHD,R2,STLHD,6.777777778,10
SH_SAND_STLHD,R2,STLHD,5.5,20
SH_SAND_STLHD,R2,STLHD,5.222222222,30
SH_SAND_STLHD,R2,STLHD,7.2,40
SH_SAND_STLHD,R3,STLHD,NA,0
SH_SAND_STLHD,R3,STLHD,5.733333334,10
SH_SAND_STLHD,R3,STLHD,4.733333333,20
SH_SAND_STLHD,R3,STLHD,4.111111111,30
SH_SAND_STLHD,R3,STLHD,5.777777778,40
SH_SAND_STLHD,R4,STLHD,NA,0
SH_SAND_STLHD,R4,STLHD,4.2,10
SH_SAND_STLHD,R4,STLHD,4.788888889,20
SH_SAND_STLHD,R4,STLHD,4.622222223,30
SH_SAND_STLHD,R4,STLHD,5.422222223,40
