Treatment,Replicate,Filter,Target,Concentration,Hours
C_FPOM_STHD,1,0.2,STHD,6486458,0
C_FPOM_STHD,1,0.2,STHD,1255104,5
C_FPOM_STHD,1,0.2,STHD,55380,17
C_FPOM_STHD,1,0.2,STHD,0,29
C_FPOM_STHD,1,1,STHD,8435417,0
C_FPOM_STHD,1,1,STHD,1136059,5
C_FPOM_STHD,1,1,STHD,52154,17
C_FPOM_STHD,1,1,STHD,0,29
C_FPOM_STHD,1,10,STHD,1253125,0
C_FPOM_STHD,1,10,STHD,55212,5
C_FPOM_STHD,1,10,STHD,9514,17
C_FPOM_STHD,1,10,STHD,0,29
A_NP_STHD,1,0.2,STHD,8273611,0
A_NP_STHD,1,0.2,STHD,1024882,5
A_NP_STHD,1,0.2,STHD,30421,17
A_NP_STHD,1,0.2,STHD,4312,29
A_NP_STHD,1,1,STHD,12830556,0
A_NP_STHD,1,1,STHD,4484713,5
A_NP_STHD,1,1,STHD,1880375,17
A_NP_STHD,1,1,STHD,934500,29
A_NP_STHD,1,10,STHD,3170139,0
A_NP_STHD,1,10,STHD,1758993,5
A_NP_STHD,1,10,STHD,355250,17
A_NP_STHD,1,10,STHD,81435,29
D_Algae_STHD,1,0.2,STHD,8443056,0
D_Algae_STHD,1,0.2,STHD,1210291,5
D_Algae_STHD,1,0.2,STHD,109569,17
D_Algae_STHD,1,0.2,STHD,3237,29
D_Algae_STHD,1,1,STHD,8785417,0
D_Algae_STHD,1,1,STHD,1471643,5
D_Algae_STHD,1,1,STHD,325986,17
D_Algae_STHD,1,1,STHD,309027,29
D_Algae_STHD,1,10,STHD,2735417,0
D_Algae_STHD,1,10,STHD,383818,5
D_Algae_STHD,1,10,STHD,127264,17
D_Algae_STHD,1,10,STHD,107691,29
B_PG_STHD,1,0.2,STHD,10556944,0
B_PG_STHD,1,0.2,STHD,1298548,5
B_PG_STHD,1,0.2,STHD,167778,17
B_PG_STHD,1,0.2,STHD,34261,29
B_PG_STHD,1,1,STHD,9789583,0
B_PG_STHD,1,1,STHD,3690395,5
B_PG_STHD,1,1,STHD,1245582,17
B_PG_STHD,1,1,STHD,532738,29
B_PG_STHD,1,10,STHD,1643750,0
B_PG_STHD,1,10,STHD,147096,5
B_PG_STHD,1,10,STHD,54964,17
B_PG_STHD,1,10,STHD,16741,29
F_TIO2_STHD,1,0.2,STHD,0,0
F_TIO2_STHD,1,0.2,STHD,0,5
F_TIO2_STHD,1,0.2,STHD,0,17
F_TIO2_STHD,1,0.2,STHD,0,29
F_TIO2_STHD,1,1,STHD,0,0
F_TIO2_STHD,1,1,STHD,0,5
F_TIO2_STHD,1,1,STHD,869,17
F_TIO2_STHD,1,1,STHD,0,29
F_TIO2_STHD,1,10,STHD,359722,0
F_TIO2_STHD,1,10,STHD,256533,5
F_TIO2_STHD,1,10,STHD,348310,17
F_TIO2_STHD,1,10,STHD,89631,29
E_Clay_STHD,2,0.2,STHD,889,0
E_Clay_STHD,2,0.2,STHD,860,5
E_Clay_STHD,2,0.2,STHD,890,17
E_Clay_STHD,2,0.2,STHD,0,29
E_Clay_STHD,2,1,STHD,0,0
E_Clay_STHD,2,1,STHD,874,5
E_Clay_STHD,2,1,STHD,3442,17
E_Clay_STHD,2,1,STHD,828,29
E_Clay_STHD,2,10,STHD,5557639,0
E_Clay_STHD,2,10,STHD,655893,5
E_Clay_STHD,2,10,STHD,471080,17
E_Clay_STHD,2,10,STHD,81435,29
D_Algae_STHD,2,0.2,STHD,8214583,0
D_Algae_STHD,2,0.2,STHD,1806133,5
D_Algae_STHD,2,0.2,STHD,312444,17
D_Algae_STHD,2,0.2,STHD,43396,29
D_Algae_STHD,2,1,STHD,4654167,0
D_Algae_STHD,2,1,STHD,1290293,5
D_Algae_STHD,2,1,STHD,524189,17
D_Algae_STHD,2,1,STHD,540410,29
D_Algae_STHD,2,10,STHD,718056,0
D_Algae_STHD,2,10,STHD,316853,5
D_Algae_STHD,2,10,STHD,105528,17
D_Algae_STHD,2,10,STHD,139001,29
F_TIO2_STHD,2,0.2,STHD,0,0
F_TIO2_STHD,2,0.2,STHD,0,5
F_TIO2_STHD,2,0.2,STHD,0,17
F_TIO2_STHD,2,0.2,STHD,0,29
F_TIO2_STHD,2,1,STHD,931,0
F_TIO2_STHD,2,1,STHD,0,5
F_TIO2_STHD,2,1,STHD,0,17
F_TIO2_STHD,2,1,STHD,0,29
F_TIO2_STHD,2,10,STHD,27361,0
F_TIO2_STHD,2,10,STHD,136833,5
F_TIO2_STHD,2,10,STHD,298083,17
F_TIO2_STHD,2,10,STHD,69125,29
B_PG_STHD,2,0.2,STHD,5029861,0
B_PG_STHD,2,0.2,STHD,1549638,5
B_PG_STHD,2,0.2,STHD,198722,17
B_PG_STHD,2,0.2,STHD,91638,29
B_PG_STHD,2,1,STHD,1818750,0
B_PG_STHD,2,1,STHD,1605739,5
B_PG_STHD,2,1,STHD,1286931,17
B_PG_STHD,2,1,STHD,290967,29
B_PG_STHD,2,10,STHD,1154167,0
B_PG_STHD,2,10,STHD,68417,5
B_PG_STHD,2,10,STHD,81667,17
B_PG_STHD,2,10,STHD,16588,29
C_FPOM_STHD,2,0.2,STHD,6797917,0
C_FPOM_STHD,2,0.2,STHD,953728,5
C_FPOM_STHD,2,0.2,STHD,39064,17
C_FPOM_STHD,2,0.2,STHD,0,29
C_FPOM_STHD,2,1,STHD,4476389,0
C_FPOM_STHD,2,1,STHD,647222,5
C_FPOM_STHD,2,1,STHD,137472,17
C_FPOM_STHD,2,1,STHD,6011,29
C_FPOM_STHD,2,10,STHD,755556,0
C_FPOM_STHD,2,10,STHD,64996,5
C_FPOM_STHD,2,10,STHD,15721,17
